"Response ID","Date submitted","Last page","Start language","Please enter your participant id","Please enter your age in years","Please select your gender","What subject, if any, did you study or are you currently studying?","What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.","What is the highest degree or level of school you have completed? If currently enrolled, highest degree received. [Other]","How much experience do you have with virtual reality (VR) and augmented reality (AR)? [VR]","How much experience do you have with virtual reality (VR) and augmented reality (AR)? [AR]","To what extent do you agree with the following statements? [I felt tired before the experiment.]","To what extent do you agree with the following statements? [I felt tired after the experiment.]","To what extent do you agree with the following statements? [I felt comfortable trying to sleep with a VR head-mounted display.]","To what extent do you agree with the following statements? [I felt more awake after solving the task.]","To what extent do you agree with the following statements? [The transition from sleeping/resting to solving tasks was easy for me.]","To what extent do you agree with the following statements? [I can imagine being woken up like in the experiment to prepare for dangerous situations (e.g. take the control of a car).]","To what extent do you agree with the following statements? [I can imagine wearing a head-mounted display permanently, if they become tiny and comfortable.]","To what extent do you agree with the following statements? [I usually sleep with a sleep mask on.]","To what extent do you agree with the following statements? [I have experience with meditation.]","To what extent do you agree with the following statements? [I didn't feel that comfortable trying to sleep with a VR head-mounted display.]","To what extent do you agree with the following statements? [I felt awake before the experiment.]","To what extent do you agree with the following statements? [The transition from sleeping/resting to solving tasks was hard for me.]"
"1","1980-01-01 00:00:00","7","en","url05","23","A2","Informationssystemtechnik","A4","","A1","A2","A7","A7","A2","A2","A2","A6","A6","A7","A7","A4","A2","A7"
"2","1980-01-01 00:00:00","7","en","HHH29","25","A2","Medieninformatik","A4","","A7","A3","A2","A3","A5","A2","A1","A6","A2","A7","A7","A2","A3","A6"
"3","1980-01-01 00:00:00","7","en","nyy25","25","A1","Medieninformatik","A3","","A2","A2","A5","A1","A5","A2","A4","A3","A4","A7","A5","A4","A4","A5"
"5","1980-01-01 00:00:00","7","en","ctu09","21","A2","Medieninformatik","A3","","A4","A2","A4","A5","A3","A2","A1","A2","A6","A7","A7","A3","A3","A6"
"6","1980-01-01 00:00:00","7","en","sho18","22","A2","medieninformatik","A3","","A4","A4","A6","A2","A5","A6","A3","A3","A2","A7","A3","A5","A2","A6"
"7","1980-01-01 00:00:00","7","en","emu22","20","A2","Wirtschaftsphysik","A3","","A2","A1","A3","A4","A1","A3","A3","A2","A3","A7","A5","A6","A5","A5"
"8","1980-01-01 00:00:00","7","en","RHL01","26","A2","Medieninformatik","A4","","A7","A4","A4","A3","A2","A2","A2","A3","A2","A6","A3","A6","A3","A4"
"9","1980-01-01 00:00:00","7","en","kaa16","22","A1","Medieninformatik","A3","","A5","A1","A3","A1","A1","A3","A2","A5","A6","A7","A3","A6","A7","A6"
"10","1980-01-01 00:00:00","7","en","SWO16","22","A2","computer science bachelor","A3","","A2","A4","A3","A2","A5","A3","A2","A2","A6","A7","A4","A2","A3","A2"
"11","1980-01-01 00:00:00","7","en","cga09","21","A1","psychologie","A3","","A3","A4","A5","A3","A2","A2","A5","A6","A2","A7","A2","A6","A3","A3"
"12","1980-01-01 00:00:00","7","en","kuu09","23","A2","medieninformatik","A3","","A5","A3","A5","A3","A3","A5","A5","A5","A2","A7","A7","A6","A2","A3"
"13","1980-01-01 00:00:00","7","en","ajo02","23","A2","Medieninformatik","A4","","A6","A6","A3","A2","A2","A6","A2","A7","A1","A7","A6","A4","A5","A6"
"14","1980-01-01 00:00:00","7","en","erv21","24","A2","Sofware Engineering","A3","","A4","A4","A6","A3","A3","A5","A5","A6","A1","A7","A2","A5","A2","A3"
"15","1980-01-01 00:00:00","7","en","hmo19","23","A2","Software Engineering Master","A4","","A2","A1","A4","A4","A2","A2","A3","A4","A3","A7","A6","A6","A4","A5"
"16","1980-01-01 00:00:00","7","en","mar02","26","A2","BA, Informatik","A3","","A1","A1","A6","A6","A7","A1","A2","A2","A1","A7","A7","A4","A1","A7"
